epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1149,1.30457,2.45063,1.18526,0.64434,0.66111,0.69674,0.51601,0.99991,1.49302,1.07759,0.000473115,0.000473115,0.000473115
2,37.4672,1.20161,1.49586,1.14407,0.81128,0.74175,0.83181,0.60404,1.00877,1.0942,1.07537,0.000930649,0.000930649,0.000930649
3,51.1191,1.17176,1.44394,1.14626,0.7218,0.7874,0.75724,0.51853,1.04607,1.21336,1.1249,0.00136932,0.00136932,0.00136932
4,64.3177,1.14775,1.31548,1.1423,0.80897,0.80677,0.83615,0.62131,0.93964,1.051,1.04755,0.00134412,0.00134412,0.00134412
5,77.2908,1.09771,1.22587,1.08946,0.78602,0.74367,0.80576,0.58157,0.97953,1.06371,1.07196,0.00131582,0.00131582,0.00131582
6,90.409,1.06507,1.22791,1.1094,0.73656,0.78438,0.75758,0.56072,0.93083,1.14287,1.06058,0.00128753,0.00128753,0.00128753
7,103.691,1.11731,1.21109,1.12822,0.76564,0.80251,0.80125,0.58744,0.97739,1.0541,1.08118,0.00125923,0.00125923,0.00125923
8,116.804,1.07238,1.13818,1.09759,0.70435,0.8275,0.72695,0.5318,0.9506,1.35345,1.07603,0.00123094,0.00123094,0.00123094
9,130.777,1.00124,1.10362,1.06597,0.85374,0.77708,0.85593,0.6568,0.92114,0.95066,1.06077,0.00120265,0.00120265,0.00120265
10,143.907,1.03916,1.08828,1.06945,0.80243,0.76682,0.83371,0.63809,0.89191,1.00761,1.03896,0.00117435,0.00117435,0.00117435
11,157.39,1.02192,1.07028,1.07678,0.80962,0.78755,0.84828,0.64079,0.88576,0.91145,1.01844,0.00114606,0.00114606,0.00114606
12,170.938,1.00401,1.02118,1.0737,0.84762,0.82495,0.85161,0.66669,0.80711,0.92279,0.99739,0.00111776,0.00111776,0.00111776
13,184.193,0.98555,1.12049,1.05026,0.76064,0.76565,0.83301,0.61572,0.86797,0.89809,1.01682,0.00108947,0.00108947,0.00108947
14,197.159,1.00396,1.03303,1.07814,0.81719,0.78199,0.86759,0.66894,0.86668,0.93876,1.02641,0.00106118,0.00106118,0.00106118
15,210.024,0.96411,0.98702,1.05597,0.8066,0.80276,0.87824,0.67983,0.87358,0.90343,1.03018,0.00103288,0.00103288,0.00103288
16,222.806,0.93438,0.94096,1.03917,0.8472,0.795,0.8665,0.6888,0.79403,0.86504,1.00459,0.00100459,0.00100459,0.00100459
17,236.271,0.93697,0.9687,1.034,0.86168,0.79223,0.89365,0.7093,0.82547,0.83948,1.01084,0.000976293,0.000976293,0.000976293
18,249.267,0.94397,0.94165,1.0484,0.82497,0.80741,0.88169,0.6882,0.81448,0.89836,1.0081,0.000947999,0.000947999,0.000947999
19,262.292,0.89946,0.91832,1.03914,0.78254,0.84295,0.87407,0.69901,0.80514,0.87109,1.01949,0.000919704,0.000919704,0.000919704
20,275.298,0.88837,0.87985,1.03149,0.83758,0.85061,0.89336,0.71543,0.78051,0.81246,0.99773,0.00089141,0.00089141,0.00089141
21,288.474,0.87853,0.86941,1.00649,0.84316,0.81632,0.88869,0.71174,0.78783,0.82393,0.99826,0.000863116,0.000863116,0.000863116
22,301.2,0.85239,0.8454,1.00358,0.82373,0.81647,0.8881,0.69656,0.79595,0.81999,0.99374,0.000834822,0.000834822,0.000834822
23,314.61,0.85441,0.84496,1.00733,0.77669,0.88929,0.88296,0.70409,0.77379,0.80956,0.98169,0.000806528,0.000806528,0.000806528
24,328.606,0.84732,0.80811,0.99622,0.84866,0.81739,0.86947,0.7011,0.75701,0.80846,0.98619,0.000778233,0.000778233,0.000778233
25,341.843,0.8311,0.8064,0.99517,0.85136,0.79478,0.86716,0.69629,0.76488,0.83273,0.99,0.000749939,0.000749939,0.000749939
